SaleID,price
200000,1177.6969818014536
200001,1865.2156283501918
200002,8288.197270987876
200003,1322.4848372605734
200004,2133.98358992475
200005,1205.4824366866208
200006,391.7488782830337
200007,3586.3254992514107
200008,12364.191086803145
200009,604.7989817112418
200010,558.6413399931643
200011,2555.3290011602676
200012,5938.0257387300235
200013,8240.274379350398
200014,2173.9625668100207
200015,248.9491926963652
200016,1726.9023977476481
200017,8380.103446621491
200018,6635.232785267447
200019,623.66201034492
200020,24101.75905937428
200021,7512.801640600591
200022,2002.5836316984094
200023,1500.4194249924922
200024,909.9683303474995
200025,9322.373434181627
200026,599.2929825352217
200027,12714.165308083775
200028,4497.297518494588
200029,7575.5422928477865
200030,17111.222161541802
200031,12279.90801320367
200032,576.7721007476422
200033,14537.22600543133
200034,765.4695665057168
200035,1899.5370835310478
200036,14466.22361062853
200037,6227.385179790972
200038,1297.146467389727
200039,314.0702708545001
200040,597.6906524439507
200041,25636.24741903902
200042,376.763663246757
200043,8254.221342931938
200044,18049.763664696766
200045,622.3991688409069
200046,15501.116101744796
200047,16732.15550640878
200048,2079.732393423523
200049,3126.6283143355176
200050,844.323514802424
200051,4550.030003247128
200052,2948.5893458575856
200053,311.877872015681
200054,13512.694361670921
200055,9726.465499905158
200056,8014.29677591863
200057,3432.817078098081
200058,1199.8230898332386
200059,5103.349641794946
200060,7923.767697838164
200061,1176.8337966167594
200062,5367.199745366811
200063,8817.181327855778
200064,1242.0329648885563
200065,1889.4036551385384
200066,539.6045442600218
200067,10186.572037362028
200068,163.70143054482335
200069,17641.128176388647
200070,8888.588949047033
200071,368.85575550201247
200072,5736.092787594809
200073,19087.87917614945
200074,4333.640664558077
200075,14733.041527903068
200076,3078.908226292655
200077,410.68814556389805
200078,355.4847600905247
200079,2850.358776028467
200080,3441.6676833517363
200081,1992.4311587018512
200082,4024.1748471847104
200083,442.6143168838764
200084,1326.1080154975539
200085,1738.7529278934298
200086,6736.6842388724
200087,3306.636934392397
200088,2626.0705480934034
200089,41287.76541665949
200090,2952.8468589196536
200091,214.0634496367499
200092,2078.6671078134295
200093,16753.711474736287
200094,6874.832555810324
200095,5577.624788359051
200096,2355.0194105169594
200097,1257.6277170948742
200098,394.18611770068514
200099,19580.893186233312
200100,21722.37065329398
200101,8116.982725971626
200102,1741.384209869953
200103,10337.341917854641
200104,5480.245152634689
200105,3405.5500603420946
200106,8736.948374824358
200107,1867.4705488102147
200108,14481.104308513182
200109,8390.22146138228
200110,1137.2638895385794
200111,1712.5047193461735
200112,1853.4131613864906
200113,626.2235045819764
200114,2232.3428123161357
200115,1304.1444681847365
200116,13242.81668259078
200117,16905.330102307205
200118,58371.535949638506
200119,225.1636544412256
200120,3581.0931067756474
200121,2737.0436117894396
